keyword,frequency,year
2D Slices,0,1990
2D Slices,1,1991
2D Slices,0,1992
2D Slices,0,1993
2D Slices,0,1994
2D Slices,0,1995
2D Slices,0,1996
2D Slices,0,1997
2D Slices,0,1998
2D Slices,0,1999
2D Slices,0,2000
2D Slices,0,2001
2D Slices,0,2002
2D Slices,0,2003
2D Slices,0,2004
2D Slices,0,2005
2D Slices,0,2006
2D Slices,0,2007
2D Slices,0,2008
2D Slices,0,2009
2D Slices,0,2010
2D Slices,0,2011
2D Slices,0,2012
2D Slices,0,2013
2D Slices,0,2014
2D Slices,0,2015
3D Vector Fields,0,1990
3D Vector Fields,2,1991
3D Vector Fields,0,1992
3D Vector Fields,0,1993
3D Vector Fields,0,1994
3D Vector Fields,0,1995
3D Vector Fields,0,1996
3D Vector Fields,0,1997
3D Vector Fields,0,1998
3D Vector Fields,0,1999
3D Vector Fields,0,2000
3D Vector Fields,0,2001
3D Vector Fields,0,2002
3D Vector Fields,0,2003
3D Vector Fields,0,2004
3D Vector Fields,0,2005
3D Vector Fields,0,2006
3D Vector Fields,0,2007
3D Vector Fields,0,2008
3D Vector Fields,0,2009
3D Vector Fields,0,2010
3D Vector Fields,0,2011
3D Vector Fields,0,2012
3D Vector Fields,0,2013
3D Vector Fields,0,2014
3D Vector Fields,0,2015
3D Visualization,0,1990
3D Visualization,0,1991
3D Visualization,0,1992
3D Visualization,0,1993
3D Visualization,2,1994
3D Visualization,0,1995
3D Visualization,0,1996
3D Visualization,0,1997
3D Visualization,0,1998
3D Visualization,0,1999
3D Visualization,0,2000
3D Visualization,0,2001
3D Visualization,0,2002
3D Visualization,0,2003
3D Visualization,0,2004
3D Visualization,0,2005
3D Visualization,0,2006
3D Visualization,0,2007
3D Visualization,0,2008
3D Visualization,0,2009
3D Visualization,0,2010
3D Visualization,0,2011
3D Visualization,0,2012
3D Visualization,0,2013
3D Visualization,0,2014
3D Visualization,0,2015
Acceleration,0,1990
Acceleration,0,1991
Acceleration,0,1992
Acceleration,0,1993
Acceleration,0,1994
Acceleration,0,1995
Acceleration,0,1996
Acceleration,0,1997
Acceleration,0,1998
Acceleration,0,1999
Acceleration,0,2000
Acceleration,0,2001
Acceleration,0,2002
Acceleration,8,2003
Acceleration,0,2004
Acceleration,0,2005
Acceleration,0,2006
Acceleration,0,2007
Acceleration,0,2008
Acceleration,0,2009
Acceleration,0,2010
Acceleration,0,2011
Acceleration,0,2012
Acceleration,0,2013
Acceleration,0,2014
Acceleration,0,2015
Algorithm,0,1990
Algorithm,0,1991
Algorithm,0,1992
Algorithm,4,1993
Algorithm,0,1994
Algorithm,0,1995
Algorithm,0,1996
Algorithm,0,1997
Algorithm,0,1998
Algorithm,0,1999
Algorithm,0,2000
Algorithm,0,2001
Algorithm,0,2002
Algorithm,0,2003
Algorithm,0,2004
Algorithm,0,2005
Algorithm,0,2006
Algorithm,0,2007
Algorithm,0,2008
Algorithm,0,2009
Algorithm,0,2010
Algorithm,0,2011
Algorithm,0,2012
Algorithm,0,2013
Algorithm,0,2014
Algorithm,0,2015
Algorithms,0,1990
Algorithms,0,1991
Algorithms,0,1992
Algorithms,0,1993
Algorithms,0,1994
Algorithms,0,1995
Algorithms,0,1996
Algorithms,0,1997
Algorithms,0,1998
Algorithms,0,1999
Algorithms,0,2000
Algorithms,0,2001
Algorithms,0,2002
Algorithms,0,2003
Algorithms,0,2004
Algorithms,0,2005
Algorithms,26,2006
Algorithms,0,2007
Algorithms,0,2008
Algorithms,0,2009
Algorithms,0,2010
Algorithms,9,2011
Algorithms,0,2012
Algorithms,72,2013
Algorithms,0,2014
Algorithms,0,2015
Animation,10,1990
Animation,0,1991
Animation,4,1992
Animation,3,1993
Animation,0,1994
Animation,0,1995
Animation,0,1996
Animation,0,1997
Animation,0,1998
Animation,0,1999
Animation,0,2000
