keyword,frequency,year
3D glyphs,0,1990
3D glyphs,0,1991
3D glyphs,0,1992
3D glyphs,0,1993
3D glyphs,0,1994
3D glyphs,0,1995
3D glyphs,0,1996
3D glyphs,0,1997
3D glyphs,0,1998
3D glyphs,0,1999
3D glyphs,0,2000
3D glyphs,0,2001
3D glyphs,0,2002
3D glyphs,0,2003
3D glyphs,0,2004
3D glyphs,1,2005
3D glyphs,0,2006
3D glyphs,0,2007
3D glyphs,0,2008
3D glyphs,0,2009
3D glyphs,0,2010
3D glyphs,0,2011
3D glyphs,0,2012
3D glyphs,0,2013
3D glyphs,0,2014
3D glyphs,0,2015
3D hyperbolic space,0,1990
3D hyperbolic space,0,1991
3D hyperbolic space,0,1992
3D hyperbolic space,0,1993
3D hyperbolic space,0,1994
3D hyperbolic space,0,1995
3D hyperbolic space,0,1996
3D hyperbolic space,1,1997
3D hyperbolic space,0,1998
3D hyperbolic space,0,1999
3D hyperbolic space,0,2000
3D hyperbolic space,0,2001
3D hyperbolic space,0,2002
3D hyperbolic space,0,2003
3D hyperbolic space,0,2004
3D hyperbolic space,0,2005
3D hyperbolic space,0,2006
3D hyperbolic space,0,2007
3D hyperbolic space,0,2008
3D hyperbolic space,0,2009
3D hyperbolic space,0,2010
3D hyperbolic space,0,2011
3D hyperbolic space,0,2012
3D hyperbolic space,0,2013
3D hyperbolic space,0,2014
3D hyperbolic space,0,2015
ABySS-Explorer,0,1990
ABySS-Explorer,0,1991
ABySS-Explorer,0,1992
ABySS-Explorer,0,1993
ABySS-Explorer,0,1994
ABySS-Explorer,0,1995
ABySS-Explorer,0,1996
ABySS-Explorer,0,1997
ABySS-Explorer,0,1998
ABySS-Explorer,0,1999
ABySS-Explorer,0,2000
ABySS-Explorer,0,2001
ABySS-Explorer,0,2002
ABySS-Explorer,0,2003
ABySS-Explorer,0,2004
ABySS-Explorer,0,2005
ABySS-Explorer,0,2006
ABySS-Explorer,0,2007
ABySS-Explorer,0,2008
ABySS-Explorer,1,2009
ABySS-Explorer,0,2010
ABySS-Explorer,0,2011
ABySS-Explorer,0,2012
ABySS-Explorer,0,2013
ABySS-Explorer,0,2014
ABySS-Explorer,0,2015
ACE,0,1990
ACE,0,1991
ACE,0,1992
ACE,0,1993
ACE,0,1994
ACE,0,1995
ACE,0,1996
ACE,0,1997
ACE,0,1998
ACE,0,1999
ACE,0,2000
ACE,0,2001
ACE,1,2002
ACE,0,2003
ACE,0,2004
ACE,0,2005
ACE,0,2006
ACE,0,2007
ACE,0,2008
ACE,0,2009
ACE,0,2010
ACE,0,2011
ACE,0,2012
ACE,0,2013
ACE,0,2014
ACE,0,2015
action,0,1990
action,0,1991
action,0,1992
action,0,1993
action,0,1994
action,1,1995
action,0,1996
action,0,1997
action,0,1998
action,0,1999
action,0,2000
action,0,2001
action,0,2002
action,0,2003
action,0,2004
action,0,2005
action,0,2006
action,0,2007
action,0,2008
action,0,2009
action,0,2010
action,0,2011
action,0,2012
action,0,2013
action,0,2014
action,0,2015
ActiviTree,0,1990
ActiviTree,0,1991
ActiviTree,0,1992
ActiviTree,0,1993
ActiviTree,0,1994
ActiviTree,0,1995
ActiviTree,0,1996
ActiviTree,0,1997
ActiviTree,0,1998
ActiviTree,0,1999
ActiviTree,0,2000
ActiviTree,0,2001
ActiviTree,0,2002
ActiviTree,0,2003
ActiviTree,0,2004
ActiviTree,0,2005
ActiviTree,0,2006
ActiviTree,0,2007
ActiviTree,0,2008
ActiviTree,1,2009
ActiviTree,0,2010
ActiviTree,0,2011
ActiviTree,0,2012
ActiviTree,0,2013
ActiviTree,0,2014
ActiviTree,0,2015
Activity Sculptures,0,1990
Activity Sculptures,0,1991
Activity Sculptures,0,1992
Activity Sculptures,0,1993
Activity Sculptures,0,1994
Activity Sculptures,0,1995
Activity Sculptures,0,1996
Activity Sculptures,0,1997
Activity Sculptures,0,1998
Activity Sculptures,0,1999
Activity Sculptures,0,2000
Activity Sculptures,0,2001
Activity Sculptures,0,2002
Activity Sculptures,0,2003
Activity Sculptures,0,2004
Activity Sculptures,0,2005
Activity Sculptures,0,2006
Activity Sculptures,0,2007
Activity Sculptures,0,2008
Activity Sculptures,0,2009
Activity Sculptures,0,2010
Activity Sculptures,0,2011
Activity Sculptures,0,2012
Activity Sculptures,0,2013
Activity Sculptures,1,2014
Activity Sculptures,0,2015
aesthetics,0,1990
aesthetics,0,1991
aesthetics,0,1992
aesthetics,0,1993
aesthetics,0,1994
aesthetics,0,1995
aesthetics,0,1996
aesthetics,0,1997
aesthetics,0,1998
aesthetics,0,1999
aesthetics,0,2000
aesthetics,0,2001
aesthetics,0,2002
aesthetics,1,2003
aesthetics,0,2004
aesthetics,0,2005
aesthetics,0,2006
aesthetics,0,2007
aesthetics,0,2008
aesthetics,0,2009
aesthetics,0,2010
aesthetics,0,2011
aesthetics,0,2012
aesthetics,0,2013
aesthetics,0,2014
aesthetics,0,2015
AFS,0,1990
AFS,0,1991
AFS,0,1992
AFS,0,1993
AFS,0,1994
AFS,0,1995
AFS,0,1996
AFS,0,1997
AFS,0,1998
AFS,0,1999
AFS,0,2000
AFS,0,2001
AFS,0,2002
AFS,0,2003
AFS,1,2004
AFS,0,2005
AFS,0,2006
AFS,0,2007
AFS,0,2008
AFS,0,2009
AFS,0,2010
AFS,0,2011
AFS,0,2012
AFS,0,2013
AFS,0,2014
AFS,0,2015
Aggregate Towers,0,1990
Aggregate Towers,0,1991
Aggregate Towers,0,1992
Aggregate Towers,0,1993
Aggregate Towers,0,1994
Aggregate Towers,0,1995
Aggregate Towers,0,1996
Aggregate Towers,0,1997
Aggregate Towers,0,1998
Aggregate Towers,1,1999
Aggregate Towers,0,2000
Aggregate Towers,0,2001
Aggregate Towers,0,2002
Aggregate Towers,0,2003
Aggregate Towers,0,2004
Aggregate Towers,0,2005
Aggregate Towers,0,2006
Aggregate Towers,0,2007
Aggregate Towers,0,2008
Aggregate Towers,0,2009
Aggregate Towers,0,2010
Aggregate Towers,0,2011
Aggregate Towers,0,2012
Aggregate Towers,0,2013
Aggregate Towers,0,2014
Aggregate Towers,0,2015
AggreSet,0,1990
AggreSet,0,1991
AggreSet,0,1992
AggreSet,0,1993
AggreSet,0,1994
AggreSet,0,1995
AggreSet,0,1996
AggreSet,0,1997
AggreSet,0,1998
AggreSet,0,1999
AggreSet,0,2000
AggreSet,0,2001
AggreSet,0,2002
AggreSet,0,2003
AggreSet,0,2004
AggreSet,0,2005
AggreSet,0,2006
AggreSet,0,2007
AggreSet,0,2008
AggreSet,0,2009
AggreSet,0,2010
AggreSet,0,2011
AggreSet,0,2012
AggreSet,0,2013
AggreSet,0,2014
AggreSet,1,2015
Aircraft,0,1990
Aircraft,0,1991
Aircraft,0,1992
Aircraft,0,1993
Aircraft,0,1994
Aircraft,0,1995
Aircraft,0,1996
Aircraft,0,1997
Aircraft,0,1998
Aircraft,0,1999
Aircraft,0,2000
Aircraft,0,2001
Aircraft,0,2002
Aircraft,0,2003
Aircraft,0,2004
Aircraft,0,2005
Aircraft,0,2006
Aircraft,0,2007
Aircraft,0,2008
Aircraft,1,2009
Aircraft,0,2010
Aircraft,0,2011
Aircraft,0,2012
Aircraft,0,2013
Aircraft,0,2014
Aircraft,0,2015
Algebra,0,1990
Algebra,0,1991
Algebra,0,1992
Algebra,0,1993
Algebra,0,1994
Algebra,0,1995
Algebra,0,1996
Algebra,0,1997
Algebra,0,1998
Algebra,0,1999
Algebra,0,2000
Algebra,0,2001
Algebra,0,2002
Algebra,0,2003
Algebra,0,2004
Algebra,0,2005
Algebra,0,2006
Algebra,0,2007
Algebra,0,2008
Algebra,0,2009
Algebra,0,2010
Algebra,0,2011
Algebra,0,2012
Algebra,0,2013
Algebra,1,2014
Algebra,0,2015
Algorithm,0,1990
Algorithm,0,1991
Algorithm,0,1992
Algorithm,0,1993
Algorithm,0,1994
Algorithm,0,1995
Algorithm,0,1996
Algorithm,0,1997
Algorithm,0,1998
Algorithm,0,1999
Algorithm,0,2000
Algorithm,0,2001
Algorithm,0,2002
Algorithm,0,2003
Algorithm,0,2004
Algorithm,0,2005
Algorithm,0,2006
Algorithm,0,2007
Algorithm,0,2008
Algorithm,0,2009
Algorithm,0,2010
Algorithm,0,2011
Algorithm,0,2012
Algorithm,0,2013
Algorithm,1,2014
Algorithm,0,2015
algorithm visualization,0,1990
algorithm visualization,0,1991
algorithm visualization,0,1992
algorithm visualization,0,1993
algorithm visualization,0,1994
algorithm visualization,0,1995
algorithm visualization,0,1996
algorithm visualization,0,1997
algorithm visualization,0,1998
algorithm visualization,0,1999
algorithm visualization,1,2000
algorithm visualization,0,2001
algorithm visualization,0,2002
algorithm visualization,0,2003
algorithm visualization,0,2004
algorithm visualization,0,2005
algorithm visualization,0,2006
algorithm visualization,0,2007
algorithm visualization,0,2008
algorithm visualization,0,2009
algorithm visualization,0,2010
algorithm visualization,0,2011
algorithm visualization,0,2012
algorithm visualization,0,2013
algorithm visualization,0,2014
algorithm visualization,0,2015
ambient information visualizations,0,1990
ambient information visualizations,0,1991
ambient information visualizations,0,1992
ambient information visualizations,0,1993
ambient information visualizations,0,1994
ambient information visualizations,0,1995
ambient information visualizations,0,1996
ambient information visualizations,0,1997
ambient information visualizations,0,1998
ambient information visualizations,0,1999
ambient information visualizations,0,2000
ambient information visualizations,0,2001
ambient information visualizations,0,2002
ambient information visualizations,1,2003
ambient information visualizations,0,2004
ambient information visualizations,0,2005
ambient information visualizations,0,2006
ambient information visualizations,0,2007
ambient information visualizations,0,2008
ambient information visualizations,0,2009
ambient information visualizations,0,2010
ambient information visualizations,0,2011
ambient information visualizations,0,2012
ambient information visualizations,0,2013
ambient information visualizations,0,2014
ambient information visualizations,0,2015
AmbiguityVis,0,1990
AmbiguityVis,0,1991
AmbiguityVis,0,1992
AmbiguityVis,0,1993
AmbiguityVis,0,1994
AmbiguityVis,0,1995
AmbiguityVis,0,1996
AmbiguityVis,0,1997
AmbiguityVis,0,1998
AmbiguityVis,0,1999
AmbiguityVis,0,2000
AmbiguityVis,0,2001
AmbiguityVis,0,2002
AmbiguityVis,0,2003
AmbiguityVis,0,2004
AmbiguityVis,0,2005
AmbiguityVis,0,2006
AmbiguityVis,0,2007
AmbiguityVis,0,2008
AmbiguityVis,0,2009
AmbiguityVis,0,2010
AmbiguityVis,0,2011
AmbiguityVis,0,2012
AmbiguityVis,0,2013
AmbiguityVis,0,2014
AmbiguityVis,1,2015
animated growing polygons,0,1990
animated growing polygons,0,1991
animated growing polygons,0,1992
animated growing polygons,0,1993
animated growing polygons,0,1994
animated growing polygons,0,1995
animated growing polygons,0,1996
animated growing polygons,0,1997
animated growing polygons,0,1998
animated growing polygons,0,1999
animated growing polygons,0,2000
animated growing polygons,0,2001
animated growing polygons,0,2002
animated growing polygons,1,2003
animated growing polygons,0,2004
animated growing polygons,0,2005
animated growing polygons,0,2006
animated growing polygons,0,2007
animated growing polygons,0,2008
animated growing polygons,0,2009
animated growing polygons,0,2010
animated growing polygons,0,2011
animated growing polygons,0,2012
animated growing polygons,0,2013
animated growing polygons,0,2014
animated growing polygons,0,2015
Animation,0,1990
Animation,0,1991
Animation,0,1992
Animation,0,1993
Animation,0,1994
Animation,0,1995
Animation,0,1996
Animation,0,1997
Animation,0,1998
Animation,0,1999
Animation,0,2000
Animation,0,2001
Animation,0,2002
Animation,0,2003
Animation,0,2004
Animation,0,2005
Animation,0,2006
Animation,0,2007
Animation,0,2008
Animation,0,2009
Animation,0,2010
Animation,0,2011
Animation,0,2012
Animation,4,2013
Animation,0,2014
Animation,0,2015
art,0,1990
art,0,1991
art,0,1992
art,0,1993
art,0,1994
art,0,1995
art,0,1996
art,0,1997
art,0,1998
art,0,1999
art,0,2000
art,0,2001
art,0,2002
art,0,2003
art,0,2004
art,0,2005
art,0,2006
art,0,2007
art,0,2008
art,0,2009
art,0,2010
art,0,2011
art,0,2012
art,0,2013
art,1,2014
art,0,2015
association rules,0,1990
association rules,0,1991
association rules,0,1992
association rules,0,1993
association rules,0,1994
association rules,0,1995
association rules,0,1996
association rules,0,1997
association rules,0,1998
association rules,1,1999
association rules,0,2000
association rules,0,2001
association rules,0,2002
association rules,0,2003
association rules,0,2004
association rules,0,2005
association rules,0,2006
association rules,0,2007
association rules,0,2008
association rules,0,2009
association rules,0,2010
association rules,0,2011
association rules,0,2012
association rules,0,2013
association rules,0,2014
association rules,0,2015
attribute aggregation polyarchies,0,1990
attribute aggregation polyarchies,0,1991
attribute aggregation polyarchies,0,1992
attribute aggregation polyarchies,0,1993
attribute aggregation polyarchies,0,1994
attribute aggregation polyarchies,0,1995
attribute aggregation polyarchies,0,1996
attribute aggregation polyarchies,0,1997
attribute aggregation polyarchies,0,1998
attribute aggregation polyarchies,0,1999
attribute aggregation polyarchies,0,2000
attribute aggregation polyarchies,0,2001
attribute aggregation polyarchies,1,2002
attribute aggregation polyarchies,0,2003
attribute aggregation polyarchies,0,2004
attribute aggregation polyarchies,0,2005
attribute aggregation polyarchies,0,2006
attribute aggregation polyarchies,0,2007
attribute aggregation polyarchies,0,2008
attribute aggregation polyarchies,0,2009
attribute aggregation polyarchies,0,2010
attribute aggregation polyarchies,0,2011
attribute aggregation polyarchies,0,2012
attribute aggregation polyarchies,0,2013
attribute aggregation polyarchies,0,2014
attribute aggregation polyarchies,0,2015
Banking,0,1990
Banking,0,1991
Banking,0,1992
Banking,0,1993
Banking,0,1994
Banking,0,1995
Banking,0,1996
Banking,0,1997
Banking,0,1998
Banking,0,1999
Banking,0,2000
Banking,0,2001
Banking,0,2002
Banking,0,2003
Banking,0,2004
Banking,0,2005
Banking,1,2006
Banking,0,2007
Banking,0,2008
Banking,0,2009
