keyword,frequency,year
#FluxFlow,0,1990
#FluxFlow,0,1991
#FluxFlow,0,1992
#FluxFlow,0,1993
#FluxFlow,0,1994
#FluxFlow,0,1995
#FluxFlow,0,1996
#FluxFlow,0,1997
#FluxFlow,0,1998
#FluxFlow,0,1999
#FluxFlow,0,2000
#FluxFlow,0,2001
#FluxFlow,0,2002
#FluxFlow,0,2003
#FluxFlow,0,2004
#FluxFlow,0,2005
#FluxFlow,0,2006
#FluxFlow,0,2007
#FluxFlow,0,2008
#FluxFlow,0,2009
#FluxFlow,0,2010
#FluxFlow,0,2011
#FluxFlow,0,2012
#FluxFlow,0,2013
#FluxFlow,1,2014
#FluxFlow,0,2015
2D plots,0,1990
2D plots,0,1991
2D plots,0,1992
2D plots,0,1993
2D plots,0,1994
2D plots,0,1995
2D plots,0,1996
2D plots,0,1997
2D plots,0,1998
2D plots,0,1999
2D plots,0,2000
2D plots,0,2001
2D plots,0,2002
2D plots,0,2003
2D plots,0,2004
2D plots,0,2005
2D plots,0,2006
2D plots,0,2007
2D plots,0,2008
2D plots,1,2009
2D plots,0,2010
2D plots,0,2011
2D plots,0,2012
2D plots,0,2013
2D plots,0,2014
2D plots,0,2015
3D framework,0,1990
3D framework,0,1991
3D framework,0,1992
3D framework,0,1993
3D framework,0,1994
3D framework,0,1995
3D framework,0,1996
3D framework,0,1997
3D framework,0,1998
3D framework,0,1999
3D framework,0,2000
3D framework,0,2001
3D framework,0,2002
3D framework,0,2003
3D framework,0,2004
3D framework,0,2005
3D framework,0,2006
3D framework,0,2007
3D framework,0,2008
3D framework,0,2009
3D framework,0,2010
3D framework,0,2011
3D framework,0,2012
3D framework,0,2013
3D framework,0,2014
3D framework,1,2015
3D treemap,0,1990
3D treemap,0,1991
3D treemap,0,1992
3D treemap,0,1993
3D treemap,0,1994
3D treemap,0,1995
3D treemap,0,1996
3D treemap,0,1997
3D treemap,0,1998
3D treemap,0,1999
3D treemap,0,2000
3D treemap,0,2001
3D treemap,0,2002
3D treemap,0,2003
3D treemap,0,2004
3D treemap,0,2005
3D treemap,0,2006
3D treemap,0,2007
3D treemap,1,2008
3D treemap,0,2009
3D treemap,0,2010
3D treemap,0,2011
3D treemap,0,2012
3D treemap,0,2013
3D treemap,0,2014
3D treemap,0,2015
abnormal event detection,0,1990
abnormal event detection,0,1991
abnormal event detection,0,1992
abnormal event detection,0,1993
abnormal event detection,0,1994
abnormal event detection,0,1995
abnormal event detection,0,1996
abnormal event detection,0,1997
abnormal event detection,0,1998
abnormal event detection,0,1999
abnormal event detection,0,2000
abnormal event detection,0,2001
abnormal event detection,0,2002
abnormal event detection,0,2003
abnormal event detection,0,2004
abnormal event detection,0,2005
abnormal event detection,0,2006
abnormal event detection,0,2007
abnormal event detection,0,2008
abnormal event detection,0,2009
abnormal event detection,0,2010
abnormal event detection,0,2011
abnormal event detection,1,2012
abnormal event detection,0,2013
abnormal event detection,0,2014
abnormal event detection,0,2015
active learning,0,1990
active learning,0,1991
active learning,0,1992
active learning,0,1993
active learning,0,1994
active learning,0,1995
active learning,0,1996
active learning,0,1997
active learning,0,1998
active learning,0,1999
active learning,0,2000
active learning,0,2001
active learning,0,2002
active learning,0,2003
active learning,0,2004
active learning,0,2005
active learning,0,2006
active learning,0,2007
active learning,0,2008
active learning,0,2009
active learning,0,2010
active learning,0,2011
active learning,1,2012
active learning,0,2013
active learning,0,2014
active learning,0,2015
activity recognition,0,1990
activity recognition,0,1991
activity recognition,0,1992
